0011	DE-1a	SBB-PK Berlin
0020	DE-84	Universitätsbibliothek Braunschweig
0021	DE-46	Staats- und  Universitätsbibliothek Bremen
0022	DE-18	Staats- und Universitätsbibliothek Carl von Ossietzky , Hamburg
0023	DE-830	TUB Hamburg-Harburg
0024	DE-8	UB Kiel
0024	DE-452	Landesarchiv Schleswig-Holstein, Bibliothek
0026	DE-206	ZBW - Leibniz-Informationszentrum Wirtschaft, Standort Kiel 
0026	DE-206H	ZBW - Leibniz-Informationszentrum Wirtschaft, Standort Hamburg
0030	DE-104	UB Clausthal
0031	DE-27	Thüringer Universitäts- und Landesbibliothek (ThULB) Jena
0032	DE-Ilm1	UB Ilmenau
0034	DE-1373	Hafen City Universität, Hamburg
0034	DE-18-302	HS für Angewandte Wissenschaften Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Technik, Wirtschaft, Informatik (HAW) Hamburg
0034	DE-18-284	HAW Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Life Sciences 
0034	DE-18-285	HAW Hamburg, Hochschulinformations- und Bibliotheksservice (HIBS), Fachbibliothek Design Medien Information 
0034	DE-18-287	HAW Hamburg, Hochschulinformations- und Bibliotheksservice , (HIBS), Fachbibliothek Soziale Arbeit und Pflege 
0039	DE-547	Universitätsbibliothek Erfurt / Forschungsbibliothek Gotha, Universitätsbibliothek Erfurt 
0039	DE-39	Forschungsbibliothek Gotha
0040	DE-7	Niedersächsische Staats- und Universitätsbibliothek Göttingen und Universität Göttingen
0047	DE-Lin1b	Max-Planck-Institut für Sonnensystemforschung, Bibliothek , Göttingen
0048	DE-Goe134	Max-Planck-Institut für Multidisziplinäre Naturforschung, Karl-Thomas-Bibliothek, Göttingen
0049	DE-Goe164	Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften, Bibliothek, Göttingen
0050	DE-23	Herzog August Bibliothek (HAB) , Wolfenbüttel
0055	DE-Goe116	Otto-Hahn-Bibliothek des Max-Planck-Instituts für  Multidisziplinäre Naturforschung, Göttingen
0060	DE-705	Helmut-Schmidt-Universität, Universität der Bundeswehr Hamburg, Universitätsbibliothek  (HSU), Hamburg
0061	DE-32	Herzogin Anna Amalia Bibliothek / Klassik Stiftung Weimar (HAAB), Weimer
0062	DE-28	UB Rostock
0062	DE-Wa1	Leibniz-Institut für Ostseeforschung Warnemünde, Bibliothek 
0062	DE-Kue3	Leibniz-Institut für Atmosphärenphysik e.V. an der Universität Rostock, Bibliothek  Kühlungsborn
0062	DE-R48	Forschungsinstitut für Nutztierbiologie, Dummersdorf (FBN)
0062	DE-563	Hochschule für Musik und Theater Rostock, Bibliothek, Rostock
0062	DE-2161	Historische Bibliothek des Museums Güstrow
