---
1
1003	DE-MUS-125322	Kreisarchäologie Rotenburg
1005
1008	DE-MUS-304812	Museum Rammelsberg
1009	DE-MUS-233512	Theater Figuren Museum, Lübeck
100	DE-Ma9	Otto-von-Guericke-Universität, Universitätsbibliothek Magdeburg
1011	DE-2361	Türkisches Kulturzentrum, Berlin
1012	DE-Je1	Mariengymnasium Jever
1014	DE-MUS-233512	Europäische Hansemuseum, Lübeck
1015	DE-H30	Verein Hamburgische Geschichte
1016	DE-198	Regionalbibliothek Neubrandenburg
1017	DE-2410	Kreisarchiv Stormarn
1018	DE-Bv4	Stadtarchiv Bremerhaven
1019
101	DE-Ma14	Otto-von-Guericke-Universität, Universitätsbibliothek, Medizinische Zentralbibliothek (MZB), Magdeburg
1020
1021	DE-B2044	Institut für Hochschulforschung (HoF) an der Martin-Luther-Universität
1022	DE-2925	Kreisarchiv Verden
1023	DE-B1599	Rosa-Luxemburg-StiftungRosa-Luxemburg-Stiftung
1025	DE-Ze1	Francisceumsbibliothek, Zerbst
1026	DE-Mue78	Bibliothek der Kapuziner, Münster
1027
1030
1031	DE-B1575	Bauhausarchiv Museum für Gestaltung, Berlin
1032	DE-3070	Stiftung Berliner Leben -Martha Cooper Library, Berlin
1033	DE-MUS-089518	Museum Lüneburg
104	DE-68	Schleswig-Holsteinische Landesbibliothek (LB) Kiel
105	DE-572	Zentrale Hochschulbibliothek (ZHSB) Lübeck
110	DE-Luen4	Leuphana Universität Lüneburg, Medien- und Informationszentrum, Universitätsbibliothek Lüneburg
1115	DE-5115	Casa di Goethe, Rom
1118
1119	DE-4047	Hans Arnhold Center Library and Archive, American Academy, Berlin
111	DE-963	Hochschule 21, Buxtehude
1120	DE-H188	Historische Bibliothek Christianeum Hamburg
1121
113	DE-2089	Staatsarchiv Hamburg
114	DE-18-301	Akademie der Polizei, Hamburg
118	DE-Kt1	Hochschule Anhalt , Hochschulbibliothek (HSB)  Anhalt
119	DE-Ef28	Thüringer Ministerium für Bildung, Wissenschaft und Kultur, Bibliothek, Erfurt
11	DE-1a	SBB-PK Berlin
120	DE-715	Bibliotheks-und Informationssystem der Carl von Ossietzky Universität Oldenburg (BIS)
121	DE-45	Landesbibliothek (LB) Oldenburg
122	DE-897	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Oldenburg, Bibliothek
123	DE-Ha33	Franckesche Stiftungen, Studienzentrum August Hermann Francke, Archiv und Bibliothek
127	DE-18-258	Hochschule für Musik und Theater, Bibliothek HfMT Hamburg
129	DE-7-061	Department für Agrarökonomie und Rurale Entwicklung (DARE)
130	DE-700	Universitätsbibliothek Osnabrück
131	DE-Va1	Universitätsbibliothek Vechta
132	DE-959	Hochschule Osnabrück, Bibliothek Campus Westerberg
134
135	DE-Ha115	Landesamt für Denkmalpflege und Archäologie - Bibliothek, Halle
136	DE-Wis1	Hochschule Wismar, University of Applied Sciences: Technology, Business and Design, Hochschulbibliothek
138	DE-564	Hochschule Nordhausen, Hochschulbibliothek
139	DE-18-26	Hochschule für Bildende Künste (HfbK), Hamburg, Bibliothek
14
140	DE-839	Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Wilhelmshaven, Bibliothek
147	DE-Fl3	Zentrale Hochschulbibliothek Flensburg
148	DE-Lue12	Musikhochschule Lübeck, Bibliothek
15
150	DE-J59	Ernst-Abbe Hochschschule Jena
151	DE-546	FH Erfurt
152	DE-Shm2	FH Schmalkalden
153	DE-Ha94	MPI für Mikrostrukturphysik, Halle
